"Sex","Extraversion","Conscientiousness","Neuroticism","Openness","HonestyHumility","Agreeableness","Disinhibition","Detachment","NegativeAffect","Antagonism","Psychoticism"
"Female",2.53,2.455,5.515,5.59,6.91,5.935,0.042,1.122,2.202,0.018,1.02
"Male",4.66,4.21,4.045,5.53,3.4,4.63,1.368,0.858,1.488,1.38,1.77
"Male",3.91,5.635,2.425,6.775,4.51,4.06,1.242,1.05,0.054,0.744,0.39
"Female",1,4.165,6.235,5.275,4.33,4.06,0.45,1.62,1.626,1.698,1.32
"Male",5.725,5.845,3.52,5.785,3.715,5.41,0.612,0.318,0.126,0.81,0.162
"Male",2.185,3.49,1,5.875,6.79,3.43,0.708,2.112,0,0.12,1.14
"Female",3.34,6.745,1.255,7,6.355,6.85,0.042,0.924,0.012,0.324,0.048
"Male",2.95,4.195,4.135,4.15,3.055,4.48,1.5,1.578,1.674,1.368,1.65
"Female",4.105,3.7,3.325,4.45,5.26,5.275,1.224,0.72,2.034,1.086,1.374
"Male",3.055,3.55,2.29,4.615,5.575,7,0.924,1.206,1.212,0.234,0.654
"Female",3.175,5.14,4.285,5.32,3.73,5.05,1.164,1.464,1.89,1.068,1.836
"Male",3.34,5.035,4.585,5.35,3.235,4.96,0.444,0.648,1.542,0.468,0.516
"Female",3.625,4.735,4.615,6.4,3.85,6.655,0.582,0.72,1.518,0.372,1.206
"Male",3.775,4.375,4.3,5.815,4.24,4.075,0.942,1.41,0.984,1.038,0.966
"Female",3.76,4.54,5.38,3.955,2.995,5.845,1.062,1.926,1.992,1.698,1.44
"Male",5.26,3.79,2.395,5.965,3.445,3.22,1.026,1.176,1.098,1.188,0.78
"Female",2.71,3.85,4.72,4.78,2.185,5.875,0.912,1.038,1.488,1.152,1.212
"Male",5.185,4.18,4.6,6.07,5.26,6.175,0.594,0.816,1.692,0.726,1.38
"Male",1.885,3.07,5.275,2.44,4.84,1.645,0.942,2.244,1.596,1.914,1.866
"Female",3.76,4,5.395,4.15,3.49,6.445,1.548,0.798,2.304,1.482,1.608
"Male",1.705,4.9,3.655,5.83,2.995,5.74,0.582,0.858,0.78,0.582,1.056
"Male",4.645,4.015,4.84,4.195,3.78,3.295,1.218,2.178,2.43,1.806,1.368
"Male",3.37,3.895,3.655,3.67,3.28,5.95,1.884,1.452,1.98,1.35,1.668
"Male",5.56,5.5,3.91,5.695,3.88,6.235,0.084,0.51,0.714,0.36,0.972
"Male",4.03,3.82,4.195,3.76,4.45,5.785,1.056,1.794,1.89,1.17,1.626
"Male",4.63,4.06,2.98,4.27,5.005,5.11,0.654,0.918,1.236,1.38,1.398
"Male",2.08,2.8,5.95,6.55,5.305,6.295,1.698,1.572,1.65,0.612,2.412
"Male",3.52,2.68,4.135,6.115,2.89,4.12,1.512,1.572,1.548,1.59,1.89
"Male",3.82,4.03,4.255,4.945,2.08,6.085,2.106,1.68,1.35,0.492,1.854
"Female",4.78,5.26,4.765,3.46,2.665,5.2,1.158,1.218,1.86,1.356,1.566
"Male",3.25,4.45,3.79,3.865,2.78,4.225,1.74,1.818,2.016,0.828,1.824
"Male",2.095,4.735,3.67,5.095,4.69,4.885,0.522,1.968,1.158,0.276,0.372
"Female",2.53,4.735,3.79,4.525,4.975,6.145,0.492,1.026,1.842,0.678,0.87
"Female",3.94,4.945,3.655,2.455,2.64,3.07,0.306,1.338,2.544,1.44,0.492
"Female",4.015,2.86,4.84,3.985,3.61,4.54,1.854,1.098,2.124,0.582,1.89
"Male",2.965,4.66,3.79,4.945,5.305,4.15,1.14,1.758,1.8,1.488,1.896
"Female",4.975,3.85,4.96,6.46,4.51,6.58,1.674,1.77,2.508,1.668,2.496
"Female",4.105,4.495,5.08,5.14,3.85,5.305,0.75,1.608,1.836,1.266,1.116
"Male",5.5,4.81,5.155,5.89,5.89,5.68,0.708,1.68,1.47,1.026,0.78
"Male",3.67,3.34,4.6,6.385,2.68,6.85,1.926,0.456,2.238,1.656,2.226
"Male",6.475,5.95,3.115,6.13,3.52,6.1,0.354,0.504,0.966,0.612,0.258
"Female",5.89,6.805,3.94,5.77,2.065,6.955,0.54,1.65,1.56,1.314,1.95
"Male",4.78,4.63,3.535,4.18,3.25,4.585,1.566,1.644,1.506,1.386,1.56
"Male",2.41,5.41,4.24,6.22,4.225,4.42,0.57,0.882,0.564,0.75,0.876
"Female",2.44,4.915,6.31,6.19,2.875,6.1,0.93,1.446,2.298,1.056,1.152
"Female",4.96,5.74,4.66,4.57,2.59,5.725,0.408,0.648,1.944,0.264,1.752
"Female",3.28,5.89,3.655,6.565,3.925,5.77,0.42,0.966,0.75,1.05,0.714
"Female",6.22,4.255,4.825,5.14,2.8,4,1.53,1.89,1.728,1.176,1.614
"Female",3.595,6.595,4.33,4.825,5.95,7,0,0,2.202,0.6,0
"Female",4.84,1.72,6.28,3.895,2.41,4.72,2.328,1.836,2.532,2.814,2.262
"Female",6.265,5.2,3.205,6.055,5.59,6.31,1.47,0.156,0.468,0.288,0.798
"Male",6.34,6.79,2.755,5.245,3.205,5.215,0.42,0.258,0.738,0.348,0.282
"Female",1.495,3.835,6.805,5.185,4.075,2.98,0.396,2.028,2.748,1.248,1.65
"Male",1.96,5.32,4.195,3.01,3.82,6.28,1.932,2.07,2.502,1.194,2.304
"Female",4.78,5.275,5.185,4.165,3.7,5.155,0.678,1.524,2.046,0.474,1.962
"Female",5.725,5.035,5.11,6.34,2.845,5.65,1.8,1.794,1.59,1.146,2.49
"Male",4.51,4.225,5.11,6.385,4.825,5.02,1.002,1.17,1.548,0.888,0.894
"Female",2.965,5.02,5.44,5.05,3.145,4.72,1.77,2.316,2.094,0.516,1.452
"Male",1.075,5.425,5.17,4.54,5.065,4.135,1.2,2.322,1.47,0.51,1.53
"Male",2.5,3.34,3.61,4.48,3.775,4.69,1.866,1.662,1.986,1.68,1.896
"Male",4.6,2.575,5.8,4.015,4.105,4.57,2.004,1.248,2.496,2.052,1.764
"Female",1.69,4.75,2.485,6.16,5.035,2.245,0.426,2.268,0.768,0.84,1.92
"Male",3.055,3.82,2.905,6.175,5.185,3.655,1.464,2.004,1.008,1.356,1.788
"Female",4.585,4.045,4.51,6.745,4.33,5.71,1.62,0.864,0.978,0.852,1.728
"Female",3.1,4.54,5.125,3.685,2.08,3.49,0.54,2.076,1.824,1.524,1.884
"Female",3.565,7,3.97,6.73,2.35,6.535,0,0.642,1.134,0.642,0.438
"Male",6.325,2.05,3.31,6.43,6.835,5.725,2.016,1.002,0.924,0.366,1.506
"Male",5.5,4.855,2.695,5.305,2.755,4.78,0.798,0.672,0.804,1.266,1.062
"Female",2.845,3.415,5.8,4.51,2.14,3.265,2.022,2.238,2.376,1.284,1.386
"Male",3.49,4.495,3.685,5.485,1.15,2.905,0.222,1.02,1.284,1.614,1.44
"Female",3.565,2.425,4.18,4.42,3.13,5.335,2.028,1.662,2.022,0.876,2.37
"Male",4.225,3.745,3.805,4.045,4.2,4.39,1.602,1.326,1.494,1.05,1.308
"Male",1.465,5.08,3.85,5.2,6.13,4.765,0.69,2.202,1.08,0.306,1.578
"Male",3.385,3.595,3.7,6.4,4.66,6.205,2.07,0.894,1.458,0.096,1.842
"Female",2.98,5.74,5.35,5.035,3.85,6.595,0.78,0.84,2.202,0.354,1.818
"Male",2.875,4.84,3.88,4.255,3.775,3.49,1.584,1.26,1.728,1.5,1.944
"Male",5.53,5.23,3.235,6.07,3.895,5.965,1.044,0.984,0.642,0.306,0.762
"Female",1.45,5.47,1.36,6.88,4.06,6.085,0.09,0.624,0.156,0.006,0.444
"Male",4.075,3.835,4.06,3.79,3.98,5.605,0.426,0.558,0.882,0.306,0.732
"Female",5.89,5.005,3.88,4.42,2.065,3.415,1.41,1.296,1.14,0.768,0.774
"Female",3.565,6.205,3.055,4.015,1.72,4.3,0.234,1.038,1.206,1.098,0.408
"Male",3.955,5.77,4.975,4.84,1.345,6.535,1.434,1.086,3,1.14,1.308
"Male",2.86,3.19,4.9,5.14,4,5.875,1.884,1.242,2.532,1.392,2.22
"Male",1.795,5.23,6.145,6.13,4.465,6.28,1.866,1.86,2.148,0.252,1.584
"Female",6.325,2.995,3.355,4.33,5.64,6.31,1.026,1.134,1.764,0.756,1.254
"Female",3.04,3.415,3.43,5.02,5.08,5.455,1.692,1.23,1.59,0.468,1.674
"Female",4.465,3.865,4.27,3.835,4.56,5.365,0,0.6,1.518,0.114,0.276
"Female",1.69,2.53,3.025,4.69,4.645,4.3,1.116,0.996,1.05,0.066,0.714
"Male",4.21,3.745,4.48,2.605,3.24,4.39,1.02,0.978,1.35,0.9,0.63
"Male",1.78,5.065,3.205,6.22,3.64,3.4,1.074,1.494,1.032,1.488,1.5
