"Participant","Condition","RT","Error","Frequency"
"1","speed",0.7,TRUE,"nw_low"
"1","speed",0.392,FALSE,"very_low"
"1","speed",0.46,TRUE,"nw_very_low"
"1","speed",0.455,TRUE,"very_low"
"1","speed",0.505,FALSE,"low"
"1","speed",0.773,TRUE,"nw_High"
"1","speed",0.39,TRUE,"High"
"1","speed",0.587,FALSE,"nw_low"
"1","speed",0.603,TRUE,"nw_low"
"1","speed",0.435,TRUE,"High"
"1","speed",0.524,TRUE,"nw_very_low"
"1","speed",0.427,TRUE,"High"
"1","speed",0.456,TRUE,"nw_very_low"
"1","speed",0.622,TRUE,"High"
"1","speed",0.441,TRUE,"High"
"1","speed",0.701,TRUE,"nw_low"
"1","speed",0.308,FALSE,"nw_High"
"1","speed",0.696,TRUE,"very_low"
"1","speed",0.489,TRUE,"low"
"1","speed",0.407,TRUE,"nw_very_low"
"1","speed",0.436,TRUE,"High"
"1","speed",0.44,TRUE,"very_low"
"1","speed",0.412,TRUE,"High"
"1","speed",0.421,TRUE,"low"
"1","speed",0.602,TRUE,"nw_low"
"1","speed",0.485,FALSE,"nw_High"
"1","speed",0.524,TRUE,"nw_very_low"
"1","speed",0.578,TRUE,"nw_High"
"1","speed",0.431,TRUE,"nw_High"
"1","speed",0.631,TRUE,"low"
"1","speed",0.495,TRUE,"nw_low"
"1","speed",0.436,TRUE,"low"
"1","speed",0.488,TRUE,"low"
"1","speed",0.426,TRUE,"nw_High"
"1","speed",0.539,TRUE,"nw_High"
"1","speed",0.534,TRUE,"very_low"
"1","speed",0.431,TRUE,"High"
"1","speed",0.514,TRUE,"nw_very_low"
"1","speed",0.455,TRUE,"High"
"1","speed",0.744,FALSE,"nw_very_low"
"1","speed",0.603,TRUE,"nw_low"
"1","speed",0.577,TRUE,"nw_low"
"1","speed",0.559,TRUE,"nw_very_low"
"1","speed",0.411,TRUE,"nw_very_low"
"1","speed",0.573,TRUE,"very_low"
"1","speed",0.519,TRUE,"very_low"
"1","speed",0.597,TRUE,"very_low"
"1","speed",0.622,TRUE,"nw_High"
"1","speed",0.495,FALSE,"nw_low"
"1","speed",0.455,TRUE,"nw_High"
"1","speed",0.456,TRUE,"low"
"1","speed",0.438,TRUE,"nw_very_low"
"1","speed",0.387,TRUE,"High"
"1","speed",0.48,TRUE,"low"
"1","speed",0.362,TRUE,"High"
"1","speed",0.603,TRUE,"nw_High"
"1","speed",0.479,FALSE,"low"
"1","speed",0.984,TRUE,"very_low"
"1","speed",0.82,FALSE,"very_low"
"1","speed",0.585,TRUE,"low"
